province,country,latitude,longitude,confirmed_cases,deaths,recovered,update_time,data_source,country_code,region,country_flag
Hubei,China,35.86166,104.195397,729,39,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guangdong,China,35.86166,104.195397,53,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Zhejiang,China,35.86166,104.195397,43,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Beijing,China,35.86166,104.195397,36,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Chongqing,China,35.86166,104.195397,27,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hunan,China,35.86166,104.195397,24,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guangxi,China,35.86166,104.195397,23,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shanghai,China,35.86166,104.195397,20,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jiangxi,China,35.86166,104.195397,18,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Anhui,China,35.86166,104.195397,15,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Sichuan,China,35.86166,104.195397,15,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shandong,China,35.86166,104.195397,15,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Fujian,China,35.86166,104.195397,10,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Henan,China,35.86166,104.195397,9,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jiangsu,China,35.86166,104.195397,9,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hainan,China,35.86166,104.195397,8,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Tianjin,China,35.86166,104.195397,8,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shaanxi,China,35.86166,104.195397,5,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Yunnan,China,35.86166,104.195397,5,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hong Kong,China,35.86166,104.195397,5,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Thailand,15.870032,100.992541,5,0,,24-01-20 14:55,bno,THA,Asia,https://www.countryflags.io/th/flat/64.png
Liaoning,China,35.86166,104.195397,4,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Heilongjiang,China,35.86166,104.195397,4,1,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guizhou,China,35.86166,104.195397,3,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jilin,China,35.86166,104.195397,3,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Taiwan,China,35.86166,104.195397,3,0,,24-01-20 14:55,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Singapore,1.352083,103.819836,3,0,,24-01-20 14:55,bno,SGP,Asia,https://www.countryflags.io/sg/flat/64.png
